label,text
talk.politics.guns,article c tavares writes article scott w roby writes article c tavares writes article scott w roby writes original question started fire whether madmen inside outside compound replied possible sanity level inside outside argument well didnt make well started questionable premise fire necessarily act insanity rather act negligence accident recall one survivor claims fire started tank knocked kerosene lamp kind makes arguments regarding relative sanity somewhat moot another survivor claims heard someone shouting fires started odd terminology thats one says know fire planned one occurs accident wait see evidence shows assuming one willing believe evidence offered distrustful ones according australian documentary made year stand began koresh followers believed christ koresh sex children women married men compound perfect children resulting great seed magnified horn exmembers describe ways dissimilar way jim jones described point noted submitted faith sex life batf clearance better hurry believe deadline april paid taxes reference sex religion form comments meant address might unstable enough keep children building tear gas start fire nice evasive maneuver mr chekov theyre still tail let ask plainly complaints david koreshs religious sexual proclivities justified armed raid bureau alcohol tobacco firearms neither merely addressing sanity level players agree batf handled affair badly day one btw heard news today affadavit behind noknock warrant unsealed today grenade launcher thing list found unusual two nine escaped compound said fire deliberately set cult members talk news reporters directly relate details believe believe wont even recognize neither anyone else doesnt know personally believe would put impostors national tv cameras entirely farfetched nobody outside compound would know everybody inside compound dont forget batf admits agents inside compound case ambitious news reporters could use documentary filmed australian compound grounds help identify survivors one check stories consistency learned long news story documentary point getting conflicting reports survivors best wait til light shed upon course good believe eternal darkness im simply devils advocate theres reasonable doubt boatload standing way anybody totally swallowing official government story waco certainly room doubt certainly reserve right change opinions new evidence warrants change conspiratorially minded however would never able change mind evidence disliked would lie fabricated distrustful ones
misc.forsale,roberto clemente topps baseball card sale nearmint condition really close mint condition get lists recent baseball card pricelist may offering ill pay certified postage ship please respond ext maryland
sci.crypt,jerry han writes point matter yes serious problem end world guess something cant communist country nazi germany john edgar hoovers usa complaining rather youre complaining nobody shooting us yet guess people live one countries world person complain without getting shot yet people always complaining somebody wrong somebody wrong whatever sit figure two things done right much worse get youll find pretty damn lucky far lets talk get action going decide whats going lets overreact harm overreacting may largest single threat civil liberties yet lifetime us done pretty heinous things past havent yet recovered certainly seems historical trend towards less liberty occasional perturbations time break quotes american political radicals lyle transarc grant street gulf tower pittsburgh instances abridgement freedom people gradual silent encroachment power violent sudden usurpation james madison
comp.sys.ibm.pc.hardware,quick question regarding rockwell chipset thatscome relatively recentlyit supports v v bis v group iii fax however heard bugs chipset know someone zoom modem uses chipset hasnt problem whats word chipset rom bug specific specific brand using rockwell rockwell chipset rockwell chipset chances buy one modems using rockwell chipset bug affect b rom change fixcompensate bug please send responses via email joe zbiciak joseph zbiciak disclaimerif believe check head nuke whales
talk.religion.misc,andrew bulhak wrote jim kasprzak wrote article stephen andrew weinstein writes kibology chopped liver kibo summed saying kibology religion also candy mint floor wax personally think like spam clear im presently searching enlightenment answers unanswerable certain amount direction without actually going anywhere could kibology dont know enough kibology wish someone help ive spread ninth tube anchovy paste living room wall creat form art need higher authority turn towards give life meaning maybe kibology answer either go store buy another case anchovy paste
alt.atheism,article rashid writes article john munch wrote article rashid writes ps im sure think charge shatim also applies rushdie may encompassed umbrella fasad ruling please define words shatim fasad use apologies shatim believe refers slandering spreading slander lies prophetsas prophets basically prophet ive ever dealt either busy hawking stolen merchandise selling swampland house lots florida hear stories sexual abuse prophets families victims paid keep quiet kind willful caulmny cursing thats indicated word best explanation come top head ill try look technical definition time never mind let tell chevelle bought dude guessed prophet named mohammed ive got car like two days tranny kicks manny mechanic tells loaded sawdust take guess whether mohammed anywhere found dont think fasad little difficult describe technical definition ill try get later literally oh mohammed word fasad means mischief mischief order magnitude indicated word corruption someone something wrong begin seeks escalate hurt yeah mohammed disorder concern harm etc mischief initially caused actions wrong specifically related attacks god messenger mischief corruption disorder etc slimy mass pond scum resulting attack need physical attack different levels penalty proscribed depending extent mischief whether person persons sought make hay situation severest punishment death yeah right youre one watching butt buddy allah stereo sold croaked two days ass grass jim yeah thats right jim
comp.sys.mac.hardware,jann vanover wrote coworker attached magnetooptical drive mac works great however tried turn file sharing wouldnt work message volumes shareable anyone success sharing mos please tell hi needs insert mo filesharing get turned one see disk owner machine im sure seems check allow owner see entire disk enabled bad thing cant eject disk fs turned hope helps pablo millan l mis opiniones son mias pero te las puedo vender email seeds limitada santiago chile research im dont know im w von braun
rec.sport.baseball,article dan steinman writes last night giantsmets radio broadcast hank ted discussing fact players ever hit homeruns stolen bases career hojo batting anyone list easy sounds come couldnt mays mantle aaron henderson morgan bonds dad frank robinson molitor yount guessing id interested see whole list thanks dan ya think winfield
comp.os.ms-windows.misc,bat file run windows icon set pif file run bat file exclusive mode use entire screen first line bat file sets environment variable problem machines running msdos windows enhanced mode set command bat file fails environment space error raised amount environment space bytes using shell command configsys know nowhere near running click msdos icon create bunch environment varibles dos shell problem machines setting value environment variable bat file fails anyone seen behavior see place pif fail configure environment space lance j gay internet trw systems engineering development div phone carson ca
talk.politics.guns,two situations hardly analogous unless wish make dubious claim us legal system would provide equivalent treatment bd children romans conquered rebels actually analogy calls branch davidian feeling treatment would along lines military assualt instead peacefull effort serve warrant weeks os siege feeling might completely irrational actually one survivors wanted institute civil rights violation lawsuit treasury dept would claim batffbi blame mass hysteriainsanity without due process siegers shone lights laser beams multicolored spotlights playing loudly amplified music consisting everything tibetan chant heavy metal coupled fear poor nutrition rampant paranoia id say likely poor nuts made even nuttier isnt sleep deprivation sensory overload etc part new age method torture
comp.graphics,anyone know software allow convert coreldraw cdr files containing bitmaps scodal format bureaus filmrecorder recognises jeff lyall instgeonucsciltd lower hutt new zealand
rec.sport.baseball,article steve c liu writes teams believe cubs best record ever baseball sometime way far back something think cleveland indians
talk.politics.misc,talkpoliticsmisc boomer writes janet like hostages quickfried crackly crunch baked delicate crunch would like fries sir
sci.space,article frank j snyder writes looking information concerning projects involving solar sails understand jpl extensive study subject back late trouble gathering information groups currently involved project frank snyder auburn university know someone long talks solar sails early year late last yearalso solar sailing sure captured possible think one regulars data think started latest round late last year round topic around year two michael adams im high jacked
sci.crypt,article john r levine writes occurred algorithm secret published one could build physically identical clone versions chip would interoperate official clipper chips cloner wouldnt provide keys escrow houses hmmn necessarily could release details algorithm without releasing system key called sk hellman would make people happy sort verification procedure key exchange official chips would work official chips words secrecy sk makes physically identical clone versions impossible secrecy algorithm shouldnt necessary course revealing algorithm opens attacks sk since units share key compromising may big deal personally wouldnt feel comfortable knowing one secret bit number held many places guaranteed security course compromise sk doesnt necessarily mean system compromised impossible tell whether thats true secret algorithm incidentally whats keep secret algorithm using secret sk main key uk marginally important court order uk may even necessary wiretap steve tate reason mathematics enjoys special esteem dept computer science sciences laws duke university absolutely certain indisputable durham nc sciences extent debatable einstein
talk.religion.misc,article writes article stephen writes think david koresh didnt solid structure sound biblical backing hour long tape broadcast dont think anyone really cares solid structure sermon deaths hes responsible concern people assume evidence responsible deaths koresh nut okay id like see evidence ill type slowly understand either set fire told followers dont make martyr get killed killed wheres proof suicide considered sin branch davidians also koresh said going commit suicide furthermore cult experts said suicidal david thibedeau sp one cult members said fire started one tanks spraying tear gas facilities knocked lantern evil inside compound evidence please thou shalt kill stuff id like point bible says commit murder nkj translation mistranslates selfdefense never considered murder reason stockpiling weapons afraid government would try something fears obviously well founded ray cote theres government like government
comp.sys.ibm.pc.hardware,
misc.forsale,talaris lazer printer pgmin lazer printer talaris suppose printer pg min never set use expect bigger lazerjet iip wrong purshase used company liquidated sale shipping reply interestedobo email phoneleave message
rec.sport.hockey,article sam wong writes weeks ago read toronto sun quote alex went something like sarcastically yep pattys man hes responsible teams successim nobody around assume sarcastic remark someone whose first language english would interpret comment mean believes pat mvp team one normal players quite modest might say well dont recall assuming anything except perhaps columnist reported incident telling truth ie sarcastic impression came steve simmons besides knowledge alex pretty fair grasp english languageand recent comment detroit game would indicate remark think low
misc.forsale,kit includes following c c chmos clock generator driver c processors c c k kx chmos uv erasable prom c l low power k x chmos dynamic ram c chmos programmable interrupt controller c chmos bus controller fro c c processors c c bit chmos microprocessor c chmos programmable peripheral interface c chmos programmable interval timer c chmos dynamic ram controller chips complete manual box dont know whether still work dont really know mainly knows use probably ee stuff since used belong ee student anyone interested please make offer jonina
sci.electronics,try sgs l achieve current levelmicrostep teere circuit sgsthomson smart power applicatio manual order code manual amsmartpowerst best regards moisiew hong email hewlettpackard malaysia bayan lepas free trade zone tel fax penang malaysia
misc.forsale,following laser discs forsale original covers excellent condition ive watched many times cant see watching im asking per disc terminator road warrior hook ghost robo cop repo man romancing stone lost boys dark man robinhoood prince thieves total recall ask sh first laser disc buy one cover
rec.sport.hockey,paul w francisco writes said letter addressed bettman post though pretty much content entirely different entity addressed puts letter mail doubt say figure wanted let people see since topic interests lot folks thats entirely different purpose sending letter bettman damn good thing post since claims represent people recsporthockey unfortunately largest computer networks world phrase definition internet group whole claims represent sole purpose mentioning net steve gallichio already pointed lend weight points association internet reason mention internet misrepresentation internet private corporation alison would leaving wide open kinds civil suits business whether large large compared say number folks rsh sending letter thank changing names least point letter petition claiming represent large proportion recsporthockey users implication significant number internet users names way considered large proportion recsporthockey way counting actual readership accessible hundreds thousands people persons flys fart windstorm curiosity thought id look official definition large dictionary reads large usual power capacity scope exceeding things like kind quantity size gee looked large dictionary next two syllable words idea many letters bettman may gotten issue many people may signed people may thereby validating definition would also wager geographical range signatures quite large would give large scope let suggest place likely envy magnitude looking ways beef iq scores might impressed size list names would impressed unless large said might impressed size list names would considerably larger even definition account original context lifted sentence personally dont know whether agree letter mixed emotions like names dont think make difficult learn game might shred validity change well hell point dont really know opinion hockey issue know dont like cordially always many morons rm little time
talk.religion.misc,petri mathew discusion reality atoms interesting would seem verging question anything real since observation reliable say anything real dont think intention original question since defineout word real nothing meet criteria thought brian ps rainbows shadows real objects phenomenon interesting question would atoms objects classical phenomenon neoquantum
sci.space,wierd warned plan put satellite around planet solar system keep watch help better ask questions spout opinion mission unmanned pluto stay orbit record things around near pluto know strange idea could scanning pluto also solar system objects near aaroundpluto well seti looking galaxy without much solar system worry michael adams im high jacked
comp.os.ms-windows.misc,nothing beats skiing want real fun holidays rob de winter philips research istit building wl po box ja eindhoven netherlands tel email
rec.motorcycles,article allan hatcher wrote cant make citizens arrest anything felony im sure thats true let rephrase file complaint bring person court understand citizens arrest physical detention person better john stafford minnesota state university winona standard disclaimers apply
talk.politics.misc,
sci.space,article enzo liguori writes article whats new apr sciphysicsresearch whats new opinion friday april washington dc space billboards one spinoffs promised science fiction writer robert heinlein published man sold moon involved dispute sale rights moon use billboard nasa taken firsteps toward hideous vision future observers startled spring nasa launch vehicle arrived pad schwarzenegger painted huge block letters side booster rockets things could worse lot worse mideighties teenadult scifi comic ad fleetway produced short story featuring award winning character judge dredd story focussed advertising agency future use high powered multicoloured laserssearch lights pointed moon paint images moon needless say use hacked load lovers romantics werewolfscrazies ad guys got chopped service discontinued cautionary tale indeed marvin batty marvin batty shall find things sort rafia like base fathers put night oclock
