label,text,cluster
Science & Mathematics,"Title: i want to view waec2006 question paper?, Content: , Answer: Study the 2000, 2001, 2002, 2003, 2004, 2005 ones and they should prepare you for the 2006 one :-)",6
Politics & Government,"Title: Is President Bush really benefitting the United States in any way?, Content: , Answer: well...... no",1
Sports,"Title: is tracy J herbert the jockey male or female? I was just wondering?, Content: , Answer: Tracy Hebert is male and Riding at Louisana Downs right now",6
Health,"Title: Does the Push/Pull method,where you work your push muscles one day, then your pulls the next,get good results?, Content: I would like to know if using the push/pull method gets you good results for both toning and muscle building, what benifits there are to using this method, and if its not a good method, why it isn't, and an alternative?, Answer: The push/pull method is a good method of lifting weights, but it's not particularly better than any other method.  It is only one component of the entire equation.  Equally important is your form, the number of reps and sets you do, how long your workout is, how much rest you take in between sets, the speed of both the concentric component and the eccentric component, and others as well.  The push/pull method just happens to be one of the more popular ways of lifting.\n\n\nOne advantage of this method is that you are exercising muscles that wrok together in one session.  For example, usually the pecs and the triceps are worked in the same sessions.  The triceps work as a synergist during most pec movements (meaning they help the pecs to complete the movement).  So that if you do your chest workout first, then you do have to work your triceps as hard because they have been pre-exhaust by the chest workout.\n\nOn the other hand, by seperating synergistic muscle groups, for example doing triceps and chest on seperate days, then the triceps will get worked twice as many times during the week -- once during the workout specifically aimed at the triceps, and once as a synergist during the chest workout.\n\nFor more information on all off this, see the link below.  It's probably the best written book on weightlifting and exercise on the market today.",7
Science & Mathematics,"Title: What is the unit of electrical energy??, Content: , Answer: Kilowatt-hour is the commercial unit of electrical energy. Joule is the S.I. unit. Kilowatt-hour is the energy consumed when an appliance with one kilowatt rating is used for an hour. It is 3.6 x e6 J.",8
Health,"Title: i have a three month old baby and she gets gas bad changed milk what else can i do i give her drops no success, Content: we have changed milk serveal times and no result can someone tell me a good remedy please help, Answer: Have you considered switching her to soy? Good luck!",0
Science & Mathematics,"Title: i want to view waec2006 question paper?, Content: , Answer: Study the 2000, 2001, 2002, 2003, 2004, 2005 ones and they should prepare you for the 2006 one :-)",6
Science & Mathematics,"Title: What is the unit of electrical energy??, Content: , Answer: Kilowatt-hour is the commercial unit of electrical energy. Joule is the S.I. unit. Kilowatt-hour is the energy consumed when an appliance with one kilowatt rating is used for an hour. It is 3.6 x e6 J.",8
Computers & Internet,"Title: help needed  ? for the web developers?, Content: i need someone to help me create a web site get it up and running get it generating a profit and sell it and split it, Answer: Shoot me a note with your idea",6
Family & Relationships,"Title: I'm trying not to call my ex...!?, Content: i'm trying not to call my ex but it isn't working and when he doesn't pick up it makes me sad also today i txt'd him and i felt bad about it afterward because i didn't want to call him i wanted to wait to se if he calls me instead and he doesn't and i hate it and it amkes me dad and i know all my questions have to do with the same thing and person but i really love this person and one day he said that he loved me too and it's making me sad that i am still hung up on him and it sux.....what should i do??, Answer: it takestime to heal from a broken heart. it took me awhile to heal from a 4yr relationship. i was cheated on for 3 of the years. maybe if you give him space he will eventually call you back. when he does explain to him that it was a mistake to break up and want him back. if it was meant to be, it will happen. give him time. good luck and hang in there.",0
Health,"Title: i have a three month old baby and she gets gas bad changed milk what else can i do i give her drops no success, Content: we have changed milk serveal times and no result can someone tell me a good remedy please help, Answer: Have you considered switching her to soy? Good luck!",0
Health,"Title: i have a three month old baby and she gets gas bad changed milk what else can i do i give her drops no success, Content: we have changed milk serveal times and no result can someone tell me a good remedy please help, Answer: Have you considered switching her to soy? Good luck!",0
Science & Mathematics,"Title: i want to view waec2006 question paper?, Content: , Answer: Study the 2000, 2001, 2002, 2003, 2004, 2005 ones and they should prepare you for the 2006 one :-)",6
Politics & Government,"Title: Military time references?, Content: In the military they refer to times as eighteen hundred hours or twenty-one hundred hours.  When its 8pm what do they say?  Two thousand hours?  Twenty hundred hours?, Answer: Actually a good many countries around the world use the 24 hour clock system. Then there isn't a need to say AM or PM, you know whether its day or night. Also the military begins attacks, movements and such on Greenwich mean time, its a town in Britain. And its used so everyone that aware of an operation knows what time it begins regardless of what part of the world they are in.",1
Politics & Government,"Title: Who should the GOP nominate for president in 2008?, Content: Personally, I would like to see either Jeb Bush or Condoleeza Rice. What do YOU think?, Answer: Arnold ""The Govenator"" Schwarzenegger\n\n\n>Arnold may not have been born an American, but there is already a movement underway to amend the constitution.",1
Entertainment & Music,"Title: are jude law and orlando bloom originally british?, Content: , Answer: Jude Law was born in London, England.  Orlando Bloom was born in Kent, England.  So, yes the are both British.",6
Politics & Government,"Title: Is President Bush really benefitting the United States in any way?, Content: , Answer: well...... no",1
Health,"Title: i have a three month old baby and she gets gas bad changed milk what else can i do i give her drops no success, Content: we have changed milk serveal times and no result can someone tell me a good remedy please help, Answer: Have you considered switching her to soy? Good luck!",0
Science & Mathematics,"Title: i want to view waec2006 question paper?, Content: , Answer: Study the 2000, 2001, 2002, 2003, 2004, 2005 ones and they should prepare you for the 2006 one :-)",6
