label,text
Computers & Internet,"Title: What is ""liquid colling system""?  and please explain to me in simple terms.?, Content: , Answer: Instead you are using fans on CPU and Video card, you have radiator boxes with a waterflow through them.\nFurthermore there is a little container with water and a pump. Water hoses connect the pump with the radiator boxes and from there back to the container.\n\nWater Cycle: Container -> Pump -> Radiator box -> Container"
Health,"Title: celebrities who have used steroids? do you know any of them??, Content: just give me some random names of people who have used steroids! thanks, Answer: im Mr.olympia ronnie coleman, marks, jay cutler, most of all.in indian pollywood salmankhan...etc. mostly in 50% of gyms. but it is very very very very danger... for more details see the web page:   http://www.steroidtruth.com"
Computers & Internet,"Title: panda bear screen saver?, Content: , Answer: wear it says search put panda wallpaper and some should show up and i looked that up 4 u lol=)"
Family & Relationships,"Title: Financing my long distance relationship...any suggestions?, Content: DFW to ATL, Answer: Make sure you have unlimited minutes on your cell unless you want hefty bills.  Check around for the cheapest air fare and see if you can find any good deals, the earlier you get your ticket, the cheaper usually.  There are some really great discounted airlines.  Try US 3000.  They may not fly to where you want though, the only downfall."
Entertainment & Music,"Title: What actress or dancer insured her legs with loyds of london for 1 million dollars back in the 1950's or 60's?, Content: , Answer: That was probably Betty Grable - just a guess, but her legs were legendary."
Science & Mathematics,"Title: it is adviced to take smaller steps when we are walking on a slippery surface.why?, Content: , Answer: because so you don't change your balance centre a lot and abruptly, you don't have to adjust it as much as you shoudl when you walk normally which is useful when you have to pay attention to not losing balance completely"
Business & Finance,"Title: My husband is turning 30 on Monday, any ideas on a gift??, Content: , Answer: they say 30 is the dirty 30 stage so maybe you could wrap yourself in a bow in your birthday suit and give him allof you(again):)"
Business & Finance,"Title: Anybody like art around here?, Content: I love art, who agrees? I paint a lot, and its fun to espress urself!, Answer: i love art too expecialy drawing \ni won 27 competitions of drawing and i'm proud of my self"
Society & Culture,"Title: Can the HOLY TRINITY be revealed in How we are Created in God's Image?, Content: God is spirit. He cannot be seen. If you were to examine all the creatures, the CREATOR has made a pattern emerges: angels and demons are intellectual creatures without a body; plants and animals do not have an intellect but a body and mortal soul. IT IS ONLY LIVING, HUMAN, BEINGS, that have a MIND, BODY, and SOUL. Only human beings have all three. Now, living, human, being is the existence of man. Those words describe the essence of man's mind, body, and soul. The Body is living, the Mind makes us human and distinguishing us from animals, and our Soul makes us the being that we become (good or evil).\n\nNow, even Muslims will agree Allah is omnipotent (all powerful), omniscient (all knowing), and omnipresent (ever present). These words describe the existence of God. So, what is the essence of God? I will hold off answering this question till the end., Answer: God the Father, mind\nGod the Son, body\nGod the Holy Spirit - soul\nHuman - made up of body, mind, and soul; therefore in the image of God - the Trinity"
Computers & Internet,"Title: Which part of the U.S.A has got more game development Companies?, Content: Like Which city,State/Area in the U.S.A has more game development/Programming companies., Answer: bay area/silicon valley california"
Science & Mathematics,"Title: How many ounces is 2.2 liters?, Content: , Answer: 74.36 since 33.8 oz = 1 liter"
Society & Culture,"Title: Does anyone have a jock fetish?, Content: Tell me about it if you do via a message., Answer: Are you talking about an athlete or an athletic supporter?"
Politics & Government,"Title: What do you think president bush is having for thanksgiving dinner this year ?, Content: , Answer: Considering the election results...\n\nCrow?"
Sports,"Title: who is pools last yr champion?, Content: , Answer: in terms of 9 ball it was taiwans wu cha ching but he got beat in the quarters this year by ronnie alcano of the philippines"
Politics & Government,"Title: Which government to do prefer and why: Communism, Conservitive, Liberal, or Nationalist?, Content: I'm taking a poll., Answer: None of the above.  I prefer a government run by true people who believe in their country and do it for all the right reason, instead of money and power.\n\nCommunism was the illusion of Utopia that failed because humans were running it.\n\nConservative wants to cut all aid to the poor, privatize social security AFTER they have completely pilfered the fund, and wage war on anyone that argues with them.\n\nLiberals are in it for the bleeding heart, but still want to raise their earnings and screw the private sector.\n\nNationalists are bigots, dictators, and culture purifiers that base their philosophies on conservative ""values"" and Ku Klux Klan ""ideals"".\n\nKill all politicians I say..."
Education & Reference,"Title: what are some advantages and disadvantages of starting a business?, Content: , Answer: Depends on what you want to do, but in general...\n\nAds\n-The buck stops with you, you answer only to the customer.\n\nDisads\n-You don't pick your own hours, the hours pick you.\n-Unless you have other staff, you are: customer service, human resources, accountant, front office, back office, cashier, secretary, president, laborer...\n-Your ""shop"" hours are predictable, your work hours are not.\n-You will give up your social life.\n-You will work a lot of hours - 60+ hours/week.\n-You will risk a lot of capital without knowing it.  Money will go to places and thing other than you (at first).\n-Did I mention the hours?\n\nIf you're young, single, and no kids, I'd highly recommend it.  You'll regret not doing it later in life."
Entertainment & Music,"Title: joke anyone?, Content: My wonderful girlfriend and I had been dating for over a year, and so we decided \n\n>to get married. There was only one little thing bothering me. It was her \n>beautiful younger sister. \n>\n>My prospective sister-in-law was twenty-two, wore very tight miniskirts, and \n>generally was bra-less. ?One day ""little"" sister called and asked me to come \n>over to check the wedding invitations. ?She was alone when I arrived, and she \n>whispered to me that she had feelings and desires for me that she couldn't \n<BR>overcome.<BR><BR>She told me that she wanted to make love to me just once \nbefore <BR>I got married and committed my life to her sister. <BR><BR>Well, I \nwas in total <BR>shock, and couldn't say a word. \n>\n>She said, ""I'm going upstairs to my bedroom, and if you want one last wild \n>fling, just come up and get me."" I was stunned and frozen in shock as I watched \n<BR>her go up the stairs. <BR><BR>When she reached the top she pulled off her \npanties and threw them down the <BR>stairs at me. I stood there for a moment, \nthen turned and made a beeline <BR>straight to the front door.??I opened the \ndoor, and headed straight towards my <BR>car. <BR><BR>Lo and behold, my entire \nfuture family was standing outside, all clapping! <BR><BR>With tears in his \neyes, my future father-in-law hugged me and said, we are very <BR>happy that you \nhave passed our little test.....we couldn't ask for a better man <BR>for our \ndaughter. Welcome to the family.""\n>\n>And the moral of this story is:?? \n>? \n>? \n>? \n>?Always keep your condoms in your car........, Answer: HAHAHAHA sorry that cracked me up! hahaha.... lol... HAHAHAHAHA its sooo funny!\nMORE! MORE! MORE! MORE!"
Family & Relationships,"Title: im 17 and hes 24 ppl?, Content: , Answer: be cautious... whys ur name charlie then u say ""hes 24"", e-mail me."
Politics & Government,"Title: Are there any blogs or Web sites devoted to publicizing the corruption of lawyers? (It's not a joking matter.), Content: It is common knowledge -- and a totally unacceptable condition -- that lawyers are the most corrupt occupational group in this country.  That includes unfit-for-anything judges, bar associations, and ""disciplinary"" committees that absolve the very crooks they are supposed to be punishing.  \nAmong occupations that require a college degree, there isn't any\nother that even comes close to being as filthy.  Other groups that claim to be professions do strive persistently to improve their standards, but lawyers -- including those judges, bar associations, and committees -- have for decades and decades devoted themselves to the self-interest of lawyers with a total disdain for the public interest.\nThis represents a horrendous breach of the social contract which has given  lawyers a licensed monopoly in exchange for which they are supposed to SERVE the public interest, not stomp on it.   The main media are docile.  Are there blogs or Web sites addressing this situation?, Answer: if there isn't one i'll help you make the first one"
Education & Reference,"Title: doss commission listing of native americans for genieality search?, Content: , Answer: opp."
