text,label,cluster
"(UK) Can I get sectioned if I ‘m not a danger to myself or anyone else? : Basically I’m 16 and my dad keeps on telling me I’m going to get sectioned if I don’t take the antidepressant that I was given or continue going to therapy (I don’t want to anymore, not helping me). I have THOUGHT about killing myself but I never would because I love my pets. I don’t physically self-harm either.
I don’t see how I’m a danger to myself or anyone else so there’s no reason to get sectioned, right?",severe,0
Does anyone feel their almost two different people. One in public which is presenting ur self to be happy then in private we’re u hate urself and everything : [removed],moderate,2
happy new years : i was crying when it hit 12 happy new years guys. this year was absolute shit and it doesn’t feel like anything’s gonna get better because no one understands and no one knows how to help. i don’t even know how to help myself. i don’t know what the fuck to do. i’m depressed as shit and i have no one.,moderate,1
"I don’t think I’m gonna make it through 2020 : I already spent a lot of my time at work today thinking about how hopeless my life is and how much easier things would be if I just ended it. I barely scraped through 2019, the thought of another year is terrifying. I’m so tired.",moderate,1
"2020 is in less than 2 hours and I don't feel ready : Everything is against me, especially during these holidays. My friends, my family, myself are all fucking me up deeply. 2019 was not a good year for me. How am I supposed to survive 2020 when theres no one left to help me?",moderate,1
"Depression or laziness? : For quite a long time now, I've been restless, not enjoying life at all(anhedonia), and lacking any sort of motivation to do anything at all. For a while I thought I was lazy, but I'm quite a rational person, and even when I've made full sense of why I should get up and do a thing, I recede into doing nothing again. I just don't seem to care enough about anything, nothing seems to be worth my effort. I have no passions or liking to things, I just sit there on my computer all day/TV. 
Most days I see no reason to get up or do anything healthy/productive. It's quite a nihilistic out view I have. I must say, I'm quite optimistic. As contradictory as that sounds I always look on the bright side of things, as it always bodes a better result.
Am I extremely lazy or depressed? I sure feel down most of the time, when I'm with friends it's okay, but it's not like any of my laughs or smiles are genuine however; I feel emotionless most of the time. This has been going on for at least a year or two and I really need to get work done and get on with my life so I don't fall behind. Any help would be appreciated :)",moderate,0
"$1,000,000 or no more depression? : Which would you pick?

And do you think if you chose the money it would help or get rid of your depression?",not depression,2
"Negative Nancy : I’ve recently started dating someone who I’ve had a crush on since I was 13 (Now 23). I’m so happy that it’s finally working out with us, but I think I upset him a little bit when I told him that I haven’t said anything to my parents. He knows my parents well and they really love him. I just am too scared to tell them because it’s so hard for me to be optimistic about anything. I don’t want to tell them because I don’t want to deal with telling them it didn’t work out, and it’s so hard for me to believe that it will. I wish I could be positive, but it’s just really hard for me.",moderate,1
I’m sure I’ll die alone at this point : I know I need therapy and to work through my shit before trying to date. But I feel really fucking ugly and like I’m going to die alone even if I work on myself. I keep pushing people away and blew it with a good guy a few months ago. Confident I’m going to die alone and I really don’t want to be alive anymore to think about this pain.,moderate,1
"How to not lose your focus while being productive? : Any questions?  

It's like a problem right now on me.  


Have you felt like when you're learning online on youtube and you jump onto clips that are junk...

It's like you lose something after you do that.

You felt lost.

And like I am stuck...

I don't know what should I do next it's like have a path to walk but that path has a locked door so I can't go through",moderate,0
"Have a happy near year.... : I'm spending this new years alone and in bed. 

I hope you are not doing the same. I hope you can have fun today if your reading this, next year is gonna be lit, dont give up on yourself. Your all you got in this life. Love you guys❤",not depression,2
"I have way too many mental (and other) problems to fix and depression is the “lightest” one. : Tbh, I wish I only had depression instead of all of those mental problems like: OCD, ADD, BDD, social anxiety, addictions, apophenia, maladaptive daydreaming AND depression on top...
Everyday I wakeup and try to push my time away so I can eat (because thats all I enjoy) I dont enjoy any other activity I do. I try to workout, I do it regulary and I meditate everyday and I do keto which helps, but its so hard when you are addicted and food is only thing on my mind... Im also paranoid 100% of the time, scared to meet certain people because I see them as a sign that I am ugly (yeah... apophenia, ocd and bdd causes me to think in that way, I cant explain, it sounds weird when you try to explain it). I do rituals to keep myself safe, im scared of a lot of things: people, height, sounds. I just feel so broken with all of those problems. Im lonely too, i only have my mom to talk to. I cant make connections with other people. Anyways, no wonder why im suicidal..,",severe,0
Damn I am really tired of life and I’m only 15 years into it lmaoooo : ,moderate,2
"I feel like gravity applies to me tenfold : Im constantly being dragged down to the ground, as if just to melt and die.

If I make the mistake of sitting in the shower, I feel like Im in some melted slug and it is impossible to stand up. I sit and put my forehead against the wall and just pray to die right there.

Walking feels like Im wearing weights on my legs

Standing up straight is impossible, Im physically forced to slouch down and towards the ground like a string doll when you let go of the strings

How am I supposed to live life and deal with another 50 billion problems I have id I cant even fucking walk and stand up?",moderate,0
I wish I could give my life to someone who actually wants to live : Fuck New Years by the way,moderate,1
I'm tired from crying : [removed],moderate,2
"What it do, why is this. : So I’ve grown up with parents who were not a good pair. They fought a lot and screamed at each other my whole growing up. It came to the point my mom would leave tinge house and my dad wouldn’t let her. I would have to follow them outside and force my dad to stop holding the car door on my mom. Pulling him off with all my muscle. He stepped on my toe and broke it at some point. Now whenever someone gets really mad and yells at someone else, mostly crying yelling. I get very anxious and uncomfortable . Sometimes get nauseous. Why is that, is it kinda like ptsd to some of that or what. It doesn’t affect me that bad and no one has noticed so it doesn’t affect me too bad. Thanks ✌🏼",severe,0
"I want to help my very depressed friend but idk what to say. : What are the things I can ask or say to a friend who feels like his life is so fucked up that it won’t ever get better, someone who have hit rock bottom. I wanna help him so bad but i’m scared that i might ask or say the wrong thing and make them feel worse.",not depression,0
Holidays suck : I always hate holidays because it seems like I notice how lonely I really am during them. Like everyone else my age (21) is out partying and having fun on New Year’s Eve and I’m just lonely. It really sucks.,moderate,1
"Why can I never win? : I feel like I can never win. If I wake up in an okay mood, something comes my way and I'm back at square one and wanting to kill myself all over again. I feel like I can't do anything right... I'm just a permanent fuck up. Why am I me? I really hate myself..... I try to do things right and they always just blow up in my face that I'm not doing it right. I try so hard to be a good wife, mom, daughter... but just feel like a depressed failure. What can I do to not be me and not feel and think this way? It's just getting so hard and exhausting to feel like this all the time.. I'm just to the point I've given up on being happy and accepted this is how I will always feel....",moderate,1
"Another year alone : Asked 3 girls out this year they all said no, nobody is ever going to care about me",moderate,0
"No point in life : So New Years just passed and I just went on a former close friend on mine’s instagram page and I was just on social media in general (and before I even finish this, please don’t give me, “everyday goes through life at a different pace”) I noticed that her and other people seem to have actual lives. She performs songs plays, etc , has a relationship etc. and me? No guy had ever looked my way, my life is literally wake up , school, come home, homework, rinse and repeat. I also have social anxiety so it’s hard for me to go out and even then still, I think I’m grossly unattractive. Have never ever taken a good picture, last picture I took was for the school yearbook months ago. I simply just don’t take pictures. I feel behind everyone and everything. I realize how at my age this decade is literally the decade on change for my generation, but I haven’t don’t anything. Never been kissed, held hands, complimented, looked at. And it doesn’t help that I’m a dark skin girl and nowadays boys and men seem to go out of their way especially black men, to point out how they believe dark skin girls are unattractive in all ways. I just feel behind. I mean the girl I was talking about was the girl I did everything with in elementary and middle school till we moved for high school and she had the most basic things that I can’t even get. I mean high schoolers get to y’all about relationships, and me, I’m here too ugly to even be given a second glance. 2020 is off to the worst possible start.i want to be someone’s first choice. I have friends but I know I’m not their first choice, I feel like the leftover friend. I feel like if life is literally not happening for me, I shouldn’t even be alive, what’s the point. And I release that yes I need to go out there, but how do I do that when my head is constantly telling me all my flaws, from the shape of my nose to the darkness of my skin, to my introverted personality. I feel defeated, cause I don’t want this life if it’s all I’m getting, watching every body progress and experience while I’m stuck and I feel I can’t get out.",moderate,0
"I want people to hurt me even more : This is all I think about. I wish I could get more hurt. I don't deserve any better. I cry every single day after my ex boyfriend left me but it is not getting better. All I think about is not wanting to live anymore and I cut so much, I had bought a new sundress a few months ago but I can't even wear it because my thighs look so fucking disgusting with the self harm scars. I want to break every mirror in my home and never look at myself again. I might as well just dissociate and start imagining that I'm already dead.",severe,1
"2020 is gonna kick my ass : if I don’t end it all this year it will be a miracle. I’ve already spiraled for the past 6 months and I don’t know what the FUCK TO DO. my mom has terminal pancreatic cancer and she’s been diagnosed for 4 months. The average time from diagnosis to passing away is usually 3-6 months and 8-12 months with good treatment. If she dies this year idk how I won’t kill my self or give up on everything. I’m graduating high school this year and I’m worried I’m going to end up hanging from a noose or strung out on every drug I can get my hands on. I’m a 17, almost 18 year old girl I should be hanging out with friends and partying like I did when I was 16. Instead I cried in front of my parents 30 minutes after watching the ball drop in New York. I started this decade off crying and with zero sleep.",moderate,0
"2020 is in less than 2 hours and I don't feel ready : Everything is against me, especially during these holidays. My friends, my family, myself are all fucking me up deeply. 2019 was not a good year for me. How am I supposed to survive 2020 when theres no one left to help me?",moderate,1
"Depression or laziness? : For quite a long time now, I've been restless, not enjoying life at all(anhedonia), and lacking any sort of motivation to do anything at all. For a while I thought I was lazy, but I'm quite a rational person, and even when I've made full sense of why I should get up and do a thing, I recede into doing nothing again. I just don't seem to care enough about anything, nothing seems to be worth my effort. I have no passions or liking to things, I just sit there on my computer all day/TV. 
Most days I see no reason to get up or do anything healthy/productive. It's quite a nihilistic out view I have. I must say, I'm quite optimistic. As contradictory as that sounds I always look on the bright side of things, as it always bodes a better result.
Am I extremely lazy or depressed? I sure feel down most of the time, when I'm with friends it's okay, but it's not like any of my laughs or smiles are genuine however; I feel emotionless most of the time. This has been going on for at least a year or two and I really need to get work done and get on with my life so I don't fall behind. Any help would be appreciated :)",moderate,0
"$1,000,000 or no more depression? : Which would you pick?

And do you think if you chose the money it would help or get rid of your depression?",not depression,2
"Negative Nancy : I’ve recently started dating someone who I’ve had a crush on since I was 13 (Now 23). I’m so happy that it’s finally working out with us, but I think I upset him a little bit when I told him that I haven’t said anything to my parents. He knows my parents well and they really love him. I just am too scared to tell them because it’s so hard for me to be optimistic about anything. I don’t want to tell them because I don’t want to deal with telling them it didn’t work out, and it’s so hard for me to believe that it will. I wish I could be positive, but it’s just really hard for me.",moderate,1
I’m sure I’ll die alone at this point : I know I need therapy and to work through my shit before trying to date. But I feel really fucking ugly and like I’m going to die alone even if I work on myself. I keep pushing people away and blew it with a good guy a few months ago. Confident I’m going to die alone and I really don’t want to be alive anymore to think about this pain.,moderate,1
"How to not lose your focus while being productive? : Any questions?  

It's like a problem right now on me.  


Have you felt like when you're learning online on youtube and you jump onto clips that are junk...

It's like you lose something after you do that.

You felt lost.

And like I am stuck...

I don't know what should I do next it's like have a path to walk but that path has a locked door so I can't go through",moderate,0
Man I feel like shit : It feels like I went into 2020 waking up feeling like shit knowing I really don't know how to express these feelings anymore. Fucking overslept till 3pm so my day is also kinda gone and I'm really starting to get worried I have ruined all my friendships. I really fucking wish I didn't happen. Fuck this.,moderate,0
I’m sure I’ll die alone at this point : I know I need therapy and to work through my shit before trying to date. But I feel really fucking ugly and like I’m going to die alone even if I work on myself. I keep pushing people away and blew it with a good guy a few months ago. Confident I’m going to die alone and I really don’t want to be alive anymore to think about this pain.,moderate,1
happy new years : i was crying when it hit 12 happy new years guys. this year was absolute shit and it doesn’t feel like anything’s gonna get better because no one understands and no one knows how to help. i don’t even know how to help myself. i don’t know what the fuck to do. i’m depressed as shit and i have no one.,moderate,1
"I feel like giving up and I dont know who to talk here's me rambling : So I have been on a journey to find my way of expressing myself through art and I've been trying to pursue it but I cant help to think I will never be good enough for anything. Either in art or hell even in relationships with a significant other and family. I always feel like a burden... My temptation to self destruct is always trying to put me in, through lust and selfishness. Although I try my best to fight them but its SO DIFFICULT. I dont know if something Is wrong with me or if this is normal but good god... if this is normal why do I even try?!... I Care so much about the person I am with and he is so patient and understanding but I feel if I would let him know about this lustful side of me he would would have really bad anxiety with me and leave. I dont have any friends or family around me so this is... just me. I'm so alone.

I guess you can say I'm using this app to cent but goodness if anyone has tips or support please through it at me.",moderate,0
"I can't find my will to live : Trigger warnings: abuse, death, suicide attempts, sexual assault.







I've lived through my dad abusing me until I moved out at 18. 

I've lived through my mom dying when I was 14. 

I've lived through a car accident I should have died in at 15. 

I lived to see more suicide attempts than I can count. 

I lived though a rape at 18

I lived to see myself get married. 

I lived to see my two girls born. 

I lived to see my grandma die. 

I've lived to see my marriage fall apart with no way out. 

My will to live is gone. I've given up. If I didn't have my kids, I'd be gone. I've had friends leave because of my depression. I feel so alone. I don't want to be alive anymore. I don't have a job. I have no money. No friends. No family. I'm just done.",moderate,1
anyone wanna talk? : hey y’all. is anyone not too busy to dm me? sis is pretty lonely but i don’t think i’m the only one and i’d like to spend new years not entirely alone,not depression,0
"I hope things get better for you. : This time of year is always a rough time. Always a reminder of the good times everyone else is having. It's not about them though, it is about you.  I hope that things get better for you.

I have made no resolution. My original intent was because I didn't want it to be another failure. But, I will continue to try to work at getting better.  I hope everyone here does the same. Baby steps.  Fuck everyone else. You should matter to you.

Happy New Year from me to all that are suffering.  You are not alone!",not depression,1
"What is a painless and fast way to kill your self? : I'm just wondering, because I consider committing suicide in the near future.",severe,1
"Happy New Year : Resolutions:

* Don't get caught up in politics!
* Don't fight other peoples battles for them
* Lose some weight
* Stop being so fucking hard on myself
* Focus on making myself happy
* Focus on the people in my life who have proven time and time again that no matter how bad my dark times get, they still love me.

Best Friend, brother, nephew, you are my rocks!

To everyone who reads this, I wish you a happy new year and hope you made it through this holiday period in as much of a single piece as you could.

Every day you wake up is a victory.

Every breath you take is a battle won.

Every smile you manage makes you a hero.

I love you all.",not depression,1
"Another year alone : Asked 3 girls out this year they all said no, nobody is ever going to care about me",moderate,0
anyone else hate mirrors? : [removed],moderate,2
