,text,label
13,"Title: please help me with Othello...?, Content: in Act I, Scene II, there is a conversation between Brabantio and Othello.  can someone please give me a summary of what is going on. in detail please. it starts off with Brabantio  saying  ""Down with him, thief!""\n\nthankyou so much...., Answer: Othello by William Shakespeare\n\nhttp://www.elook.org/literature/shakespeare/othello/\n\nI have found 12 summaries for you to look at, click the link below. I have included a short extract to give you a taste of what the reviews have to offer and they’re FREE..!!!\n\nhttp://www.freebooknotes.com/book.php3?id=319\n\nhttp://www.antistudy.com/search.php?title=Othello\n\nhttp://www.cummingsstudyguides.net/xOthello.html#Othello\n\nhttp://www.clicknotes.com/\n\nAn analysis of the play by Shakespeare\n\nhttp://www.theatrehistory.com/british/othello001.html\n\nRoderigo and Brabantio soon arrive on the scene, with a number of armed followers. Othello greets them and remains calm, trying to appear friendly. Brabantio calls Othello a ‘foul thief’ and threatens to send him to prison. Othello explains with perfect courtesy and dignity that he cannot allow himself to be taken to prison, since he has been called to the council hall. When the old Senator realizes that the Duke has called a meeting, he goes at once to present his case against his daughter’s husband.  More………\n\nhttp://www.pinkmonkey.com/booknotes/monkeynotes/pmOthello11.asp\n\n\nGood luck.\n\nKevin, Liverpool, England.",Education & Reference
14,"Title: i had unprotected sex and i'm worried now about infection and HIV. What shall I do?, Content: , Answer: Don't worry. It won't happen to you.",Health
15,"Title: how many meters does 8 kilemeters equal?, Content: , Answer: 8,000 m",Science & Mathematics
16,"Title: Why the long gaps between seasons on South Park?, Content: South park just finished up its first half of the season but it was only 7 episodes...and no more new episodes until october...\nWhy so long...its not like it takes forever to make the episodes., Answer: Pretty much all of the answers so far have been horribly wrong.  First, I'll address your question.  The truth is I have no idea, but who cares?  South Park is the best show ever made, but with all that time off, Trey Parker and Matt stone have time to bring us other things, such as Team America!!\n\nAnyway, it's not because animated shows take a long time to create; it only takes the SP crew six days from start to finish.  This is because every little detail is done in-house.  Family guy, for example, has to ship its work off to Korea, where it is animated.  \n\nAlso, the animation doesn't ""suck;"" they use state-of-the-art animation software; it looks the way it does because that's part of the charm.\n\nFinally, I just want to give a quick shout-out to all the South Park haters out there who think the show is stupid just because they make fun of everyone.  RELAX!!!  I was a hurricane Rita victim last year, and it really made my entire year when they made fun of the entire situation.  They did a wonderful job.  Besides, with idiots like Tom Cruise running around doing idiodic publicity stunts such as conforming to celebrity scientology fad and jumping around on Oprah's couch, we need someone to speak up, because while everyone else knows how stupid Tom Cruise is, the media is too chicken to say anything.",Entertainment & Music
17,"Title: where can i see my lover?, Content: I mean how can i make a man whom i love , will love me .It's difficult coz he is my lover online not in my real life!!!, Answer: The internet is not for love. It's for porn and entertainment. Find someone within your reach.",Family & Relationships
18,"Title: Wht was the First Anime or Manga ever made in America?, Content: , Answer: I think it was Astro Boy",Business & Finance
19,"Title: Why not Sush?, Content: I think Sushmita Sen is a better person and actor than Aishwarya Rai. Then why is it that she just can't be accepted by filmi audience? Send ur reasons??, Answer: she i think has made the choice to remain in the bollywood indusrty instead of making it big internationally.  and i dont know whether what your sayin is true or not but i think that sush has more of a personal life than Ash in the sense that she has a child and i think that maybe she feels her plate is full\non a preference scale i also like her better than Ash",Entertainment & Music
20,"Title: what cd dose the song of my daddy took the t-bird away from the beach boys.?, Content: , Answer: ",Entertainment & Music
21,"Title: Does the golf swing cause back and spinal problems ?  If so, how can we reduce its adverse effects ?, Content: , Answer: Yes to everything you asked.\n\nThere is a fast and effective remedy!\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nDon't play golf....",Sports
22,"Title: What does the ""cut through red tape"" mean?, Content: , Answer: In England, many hundreds of years ago, official documents were bound up with red tape.  Cutting throught the read tape would mean cutting out the official, burocratic steps and just going straight to the solution to the problem.",Society & Culture
23,"Title: Are there any normal people left who just want to be friends?, Content: , Answer: Well my thought of the word normal is knowing that nothing is normal.  Everyone has different standards of what the word ""normal"" means.  \nI like meeting new friends though.......  \nor maybe that is just the voice in my head saying that........",Family & Relationships
24,"Title: What is an Akita-Evita?, Content: In the song from Rent sung by angel (Today 4 You) she mentions that a kind of dog called akita-evita just won't shutup., Answer: There is a breed of dog called an Akita.  Maybe her akita's name is Evita.  If not that, I have no idea what you are talking about.",Entertainment & Music
25,"Title: how is lenin like old major in Animal Farm?, Content: please help me it's 1:20 in the morning please help me!, Answer: Try this. It might help.",Education & Reference
26,"Title: Do you think scientists have made a half human half chimp creature???, Content: I seen a show on t.v and it said that scientists in japan did this and called it a humanzee,do you think this is true,and is it possible if we have pre-historic man genes through hair could scientists make a pre-historic man again????, Answer: i WANT A HUMANZEE!",Science & Mathematics
27,"Title: what is name of the special about people with special needs being helped called the merical worker.?, Content: , Answer: I think that I know what you are meaning to say.  There was a special on TV called ""The Miracle Worker""...wait, I thought that I knew what you might be talking about but even my answer makes no sense.  Can you look it up on the web?  Sorry that I am not of more help.  Wasn't there a movie called ""The Miracle Worker""?  Is this what you are talking about?",Health
28,"Title: india or pakisthan?, Content: , Answer: india",Sports
29,"Title: 21st Present?, Content: hat is a great and memorable 21st birthday present for my best friend. Im already flyin to sydney to spend it with her, but i want something funky and also something that she will remember forever...Any suggestions?, Answer: If you have time go to a custom jeweler and have a piece made for her.  It will be a one and only, something she'll be the only one that has one.",Family & Relationships
30,"Title: What do you think of these immagration laws?, Content: 1. If you migrate to this county, you must speak the native language.\n2. You have to be a professional or an investor. No unskilled workers allowed.\n3. There will be no special bilingual programs in the schools, no special ballots for elections, all government business will be conducted in our language.\n4. Foreigners will NOT have the right to vote no matter how long they are here.\n5. Foreigners will NEVER be able to hold political office.\n6. Foreigners will not be a burden to the taxpayers. No welfare, no food stamps, no health care, or other government assistance programs.\n7. Foreigners can invest in this country, but it must be an amount equal to 40,000 times the daily minimum wage.\n8. If foreigners do come and want to buy land that will be okay, BUT options will be restricted. You are not allowed waterfront property. That is reserved for citizens naturally born into this country.\n9. Foreigners may not protest; no demonstrations, no waving a foreign flag, no political organizing, no bad-mouthing our president or his policies, if you do you will be sent home.\n10. If you do come to this country illegally, you will be hunted down and sent straight to jail.\n\nHarsh, you say? \n\nThe above laws happen to be the immigration laws of Mexico!, Answer: If it is good enough for Mexico...then it's good enough for them to abide by.\n\nI'm so tired of the hypocrisy...Sick and tired of the Politically correct mentality...\n\nEveryone should commit to abandoning the ""I'm sorry"" behavior...always apologizing for being an American.",Politics & Government
31,"Title: How old was your sex partner when you lost your virginity ?, Content: , Answer: I was 24 she was 35!!!",Family & Relationships
32,"Title: whats inside the bermuda triangle? 100 point for you who can answer this?, Content: , Answer: something like what we call a ""black hole""",Society & Culture
33,"Title: les joueurs n'ont qu'a faire leur ballon d'or?, Content: , Answer: Ou bien un vote émanant des entraineurs.",Sports
34,"Title: Story behind Brokedown Palace true? If so what happened to her?, Content: , Answer: It is not a true story but it is based on real life experiences. that means it does happen to people. the real drug smugglers put it in thier suitcases and they go to jail for it. And the Thailand people do take thier drug laws very seriously so you could end up up that much time. I didt the math and if she took both sentances, she would be doing 95 years in all. She would of died in the thai prison if they couldn't get her out.",Entertainment & Music
35,"Title: i can't get hired because i am a white legal American citizen what should I do?, Content: , Answer: Sucks does'nt it?\nI don't think there's anything you can do.Maybe change your name to Abdul or say you're black on your job applications.\nI'm not trying to sound mean to anyone but I've been there and it's ridicules!\nThere are so many groups out there demanding special attention that no one seems to care about us poor white folk.",Politics & Government
36,"Title: What are some good books for learning about your religion?  Besides your scripture?, Content: Just looking for some interesting reading., Answer: I've written my own book which I like to believe is interesting :P \n\nIt's basically about:\n1-God (His qualities, what He wants from us..)\n2-The stories of the prophets of God (lessons that can be learned from them, interesting stories)\n3- The history of Islam/life of prophet Muhammad PBUH.\n4-The Holy Qur'an (authenticity, greatest achievement of the Arabic language)\n5-The Misperceptions of Islam (e.g. Misinterpreted verses of the Qur'an)\n6- The Hereafter (i.e. Death, Judgement Day, Hell, Heaven - all in detail)\n\nThe good thing i guess about it is that the book can be read starting from any chapter. So people who are interested, for instace, to read about prophet Joseph, they can just go to his chapter and not read anything else\n\nhttp://spaces.msn.com/slimayn/\n\nPeace be with you",Society & Culture
37,"Title: I suspect mold in my home: i am a renter, my kids have astthma and are also suffering form cold like systoms?, Content: , Answer: Call your landlord asap.",Health
38,"Title: can anyone give me an interesting topic on biology research? I am so clueless... just a fun idea,on animals?, Content: , Answer: how about penguins",Education & Reference
39,"Title: Do you sometimes find yourself using phrases like ""LOL"", ""BRB"", LMAO  in real life? What reaction do you get?, Content: , Answer: But... the internet is the real life!",Computers & Internet
40,"Title: is Frank Thomas from the oakland a's married?, Content: , Answer: divorced",Sports
41,"Title: Share your most recent dreams. (sleeping dreams)?, Content: , Answer: I dreamed my boyfriend was getting dragged off by an alligator, by his ankle, to be eaten!",Society & Culture
42,"Title: What happens if you don't have the money to pay a speeding ticket?, Content: If I plead guilty and explain to the judge I need a payment plan do you think I will go to jail?, Answer: I think there are several options for you to choose from. \n\nYes you can be placed on a payment program,don't miss a payment or the court will issue a warrant for your arrest as you are under a court order to pay. They will not take excuses, so if you have financial problems please call.\n\n(This is not Wal-Mart the customer service is not all that friendly)\n\nSome jurisdictions will allow you to do community services instead of paying a fine, when and if you are allowed to do this again please show up on time. All the excuses in the world will not keep the judge from rescinding the community service and turn it into jail time.\n\nYou may also serve jail time, complete it and walk away after your time is up.\n\nI hope this has been of some use to you, good luck.\n\n""FIGHT ON""",Politics & Government
43,"Title: what does stereotype mean?, Content: , Answer: judging that a person has a particular personality trait, like easily angered, because they have a particular physical trait (red hair). this is usually based on bias and predjudices instead of fact.",Business & Finance
44,"Title: Do u think?????? plz answer?, Content: hey guys do u think 92 is a poor average???? plz be honest and answer, it's a matter of life and death for sum stupid reasons and causes\ni am counting on u, Answer: I do think 92 is a poor average...IN BIZARRO WORLD !!!",Entertainment & Music
45,"Title: Where's all the smiles???, Content: Over the last few days i've been doing my own wee experiment with smiling. I walked down the street and almost everyone i passed i made sure i gave them a smile. The number of people that actually smiled back was pitiful!! Why is this? Why are people so suspisious these days?? What happened to all the happy people????, Answer: YOU KEEP  ,GIVING THE SMILES .  IF ONLY ONE PERSON ,GIVES ONE BACK . . THEY CAN SAY ---I SAW ONE NICE /HAPPY  PERSON TODAY .",Family & Relationships
46,"Title: this lady asked if she could bless me.....what should i do?, Content: wtf this crazy psycho lady came to my job and asked if she could bless me and said all this crazy stuff\n\nshe asked for my hand and was like hellllzzzz naw and was even gonna tell her i was an atheist just to get her away \n\nwhat should i do??, Answer: Just tell her thank you, but you are already blessed.",Society & Culture
47,"Title: Does anyone have a jock fetish?, Content: Tell me about it if you do via a message., Answer: Are you talking about an athlete or an athletic supporter?",Society & Culture
48,"Title: ok I'am shamal fernando. Born 1983.10.03 at 02.40 am in sri lanka puttlam. what is my lify next pls tell me, Content: , Answer: what......?",Health
49,"Title: have you ever heard of burring a Joseph figurine in the ground to sell your house?, Content: we are currently trying to sell our house and we had heard that if you  bury a figurine of Joseph upside down in the ground outside your front door it will sell. however the catholics believe that you should never bury any such figure of christ, which makes since. we are not catholic, but religious, and we have had some friends try this and it worked, what is your take? did it work? how do you feel about it?, Answer: no, I heard that if you just put the figurine upside down and ask for wish, that's how you get the wish to come through, burning it, I don't think it was a good idea.",Society & Culture
50,"Title: Here's one for all you dream interpreters in the crowd>>>>>>>>>>?, Content: What does it mean when a person's dreams are almost always unpleasant. I'm not talking nightmares here, just that very seldom do I have what I'd call a pleasant dream. Does this mean that I am a poorly adjusted, unhappy human being? If not that, then what does it mean? Also, if a recognizable face appears in my dreams, it's usually that of my father, who's been deceased for nearly 18 years. These dreams tend to be neutral, not particularly pleasant or unpleasant. Thanks for your help., Answer: Keep a dream diary beside your bed and write it all down as soon as you wake up. Check out the tons of dream dictionary sites online for specific images in your dreams. It's up to you and your faith if you wanna believe in what each image means. Dreaming with your dad is cool. My mom died 2 years ago and all my dreams still include her in them. And she's alive in them.",Health
51,"Title: Can anyone tell me something about betting online? Is it safe to bet, and how does the money move if you win?, Content: , Answer: It's generally not a good idea to bet online because even more so than in physical gambling, they can cheat you really easily.  How do you know their random numbers generators are actually random at all?  I suppose if you win, they can transfer the funds to your bank account.",Business & Finance
52,"Title: what would flies be called if they had no wings?, Content: , Answer: a bug",Science & Mathematics
53,"Title: who know rebecca julia brown?, Content: who know her?, Answer: who is that...hooker mayb",Entertainment & Music
54,"Title: gas leaking from a hanging tube.?, Content: My buddy has an '86 kdx200. there are 3 tubes coming out of the carborator not atatched to anything. the tube coming from the bottom is leaking a lot of gas. what does the tube connect to?\n\nI'm pretty sure the 2 upper tubes are supposed to just hang, i could be wrong.\n\nthanks a ton., Answer: Are you talking about the overflow tubes? They should not leak if the bike is straight up... The connect to the carb...",Sports
55,"Title: Bored at work...?, Content: My job can hardly keep me busy with work.  What should I do to pass the time....I'm in a cubicle and you know what office rules are like, Answer: www.bored.com",Business & Finance
56,"Title: why can't we put a boy avatar with or beside a girl avatar?, Content: , Answer: Because they might make baby avatars and that sounds kinda freaky to me!!",Business & Finance
57,"Title: M4 Carbine.. secondary sighting system ?, Content: I'm setting up an M4 to use primarily for CQB under 50m. I'll run on iron sights (albeit triijicon) but am can't decide between 3 other options: Aimpoint ML2, EOTech, or a foregrip from CTC . Any suggestions or thoughts ?  I don't care about how easy getting a zero is... just durabilty/reliability and aquisition for social work.\nIf you don't understand the language in the question, please take a pass in answering. All you ""Mike Novembers"" out there, yup, that means you....... All *informed* opinions however, are most WELCOMED, Answer: EOTech for sure - It's a must.",Politics & Government
58,"Title: i am writing an article on alternative choices for a funeral/burial, has anyone got any stories of info?, Content: , Answer: WALTER\n                         What's this?\n\n                                     DONNELLY\n                         That is for the urn.\n\n                                     WALTER\n                         Don't need it.  We're scattering the \n                         ashes.\n\n                                     DONNELLY\n                         Yes, so we were informed.  However, \n                         we must of course transmit the remains \n                         to you in a receptacle.\n\n                                     WALTER\n                         This is a hundred and eighty dollars.\n\n                                     DONNELLY\n                         Yes sir.  It is our most modestly \n                         priced receptacle.\n\n                                     DUDE\n                         Well can we--\n\n                                     WALTER\n                         A hundred and eighty dollars?!\n\n                                     DONNELLY\n                         They range up to three thousand.\n\n                                     WALTER\n                         Yeah, but we're--\n\n                                     DUDE\n                         Can we just rent it from you?\n\n                                     DONNELLY\n                         Sir, this is a mortuary, not a rental \n                         house.\n\n                                     WALTER\n                         We're scattering the fucking ashes!\n\n                                     DUDE\n                         Walter--\n\n                                     WALTER\n                         JUST BECAUSE WE'RE BEREAVED DOESN'T \n                         MEAN WE'RE SAPS!\n\n                                     DONNELLY\n                         Sir, please lower your voice--\n\n                                     DUDE\n                         Hey man, don't you have something \n                         else you could put it in?\n\n                                     DONNELLY\n                         That is our most modestly priced \n                         receptacle.\n\n                                     WALTER\n                         GODDAMNIT!  IS THERE A RALPH'S AROUND \n                         HERE?!",Society & Culture
59,"Title: What does RCAC mean?, Content: , Answer: ROYAL CANADIEN AIR CORPS",Politics & Government
